,id,raw_model_label,shap_model_label,label_prob,xai_top_text,xai_total_value,xai_top_value
11,15711,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
12,15712,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
13,15713,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
14,15714,0,0,0.9949291,"트위터,코드,정보,보기,카지노","0.2433519959449768,0.5080159902572632,0.5545769929885864,0.6614220142364502,1.0885390043258667,-0.003971999976783991,-0.07829699665307999,-1.2636350393295288,-0.030912000685930252,-0.08399800211191177,-0.1977500021457672,-0.19150200486183167,-0.10349199920892715,-0.14487899839878082,-0.025976000353693962","0.24300000071525574,0.5080000162124634,0.5550000071525574,0.6610000133514404,1.0889999866485596"
15,15715,2,2,0.99771655,"놀이터,메이저,사이트,토토,먹튀","-0.0036299999337643385,-0.0028440000023692846,-0.04975799843668938,-0.40210801362991333,-0.2192929983139038,-0.10447400063276291,-0.017333999276161194,-0.8573319911956787,-0.31856200098991394,-0.2917270064353943,0.26404300332069397,0.44293901324272156,0.5382779836654663,0.6320120096206665,2.0574591159820557","0.2639999985694885,0.4429999887943268,0.5379999876022339,0.6320000290870667,2.056999921798706"
16,15716,1,1,0.99994504,"검색,사이트,정보,회원,로그인","-0.08971499651670456,0.016743000596761703,-0.773934006690979,-0.9472910165786743,0.06442800164222717,0.3514919877052307,0.6774539947509766,0.7990310192108154,0.9237520098686218,2.04559588432312,0.0015709999715909362,-0.6995109915733337,0.016767999157309532,-0.06372600048780441,-0.09448999911546707","0.35100001096725464,0.6769999861717224,0.7990000247955322,0.9240000247955322,2.0460000038146973"
17,15717,2,2,0.9996803,"보증,사이트,메이저,토토,먹튀","-0.012900999747216702,-0.05225300043821335,-0.02859099954366684,-0.4433799982070923,-0.13415400683879852,-0.0021929999347776175,-1.2620350122451782,-0.008527999743819237,-0.05069600045681,-0.34062299132347107,0.38280001282691956,0.4320929944515228,0.511093020439148,0.6183630228042603,1.2993650436401367","0.382999986410141,0.4320000112056732,0.5109999775886536,0.6179999709129333,1.2990000247955322"
18,15718,2,2,0.9999206,"놀이터,메이저,사이트,토토,먹튀","-0.003459000028669834,-0.010011999867856503,-0.020301999524235725,-0.4384320080280304,-0.3445729911327362,-0.01451599970459938,-0.01575700007379055,-0.986873984336853,-0.046858999878168106,-0.31072598695755005,0.30912500619888306,0.5234839916229248,0.6043859720230103,0.6250900030136108,1.3587470054626465","0.3089999854564667,0.5230000019073486,0.6039999723434448,0.625,1.3589999675750732"
19,15720,0,0,0.9885654,"아이디,가입,회원,코드,카지노","0.14781400561332703,0.17649799585342407,0.2542240023612976,0.49342799186706543,1.1324679851531982,-0.22413499653339386,-0.15607599914073944,-0.6655809879302979,-0.06664899736642838,-0.004774000030010939,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07928899675607681,-0.0689919963479042","0.14800000190734863,0.17599999904632568,0.2540000081062317,0.49300000071525574,1.1319999694824219"
20,15723,1,1,0.9999324,"정보,전화번호,회원,계좌,로그인","-0.1015779972076416,-0.10566599667072296,-0.3123370110988617,-1.700000029813964e-05,-0.1418759971857071,0.3982110023498535,0.517382025718689,0.6928750276565552,0.806647002696991,1.28226900100708,0.014752999879419804,0.0,-0.053158000111579895,-0.0021619999315589666,-0.02327200025320053","0.39800000190734863,0.5170000195503235,0.6930000185966492,0.8069999814033508,1.281999945640564"
21,15724,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
22,15725,2,2,0.9999453,"보증,놀이터,메이저,고액,토토","-0.03484699875116348,-0.005766000133007765,-0.01282500009983778,0.0,-0.5057560205459595,-0.00023200000578071922,-0.01507600024342537,-0.026405999436974525,0.0,-0.04412100091576576,0.568693995475769,0.6625630259513855,0.7491739988327026,0.822816014289856,0.9654620289802551","0.5690000057220459,0.6629999876022339,0.7490000128746033,0.8230000138282776,0.9649999737739563"
23,15726,1,1,0.9996,"정보,금액,한국어,회원,계좌","-0.11499500274658203,-0.08949299901723862,-0.05900600180029869,-0.41676199436187744,-0.0004030000127386302,0.3370870053768158,0.356563001871109,0.4402399957180023,0.8528379797935486,1.5728909969329834,0.009201000444591045,-0.04833199828863144,-0.007067000027745962,-0.03823100030422211,-0.011926000006496906","0.3370000123977661,0.3569999933242798,0.4399999976158142,0.8529999852180481,1.5729999542236328"
24,15727,1,1,0.99996924,"사이트,아이디,회원,계좌,로그인","0.008976999670267105,-0.14894899725914001,-0.42927899956703186,-2.300000051036477e-05,-0.040251001715660095,0.42336198687553406,0.512794017791748,0.8243309855461121,0.8469259738922119,1.4936139583587646,-0.3719539940357208,-0.006535999942570925,-0.032604001462459564,-0.004532999824732542,-0.03717999905347824","0.4230000078678131,0.5130000114440918,0.8240000009536743,0.847000002861023,1.49399995803833"
